,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
413,Mi,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4030.0,58,32.0,3,4.3,2994.0,12999,6.088,Snapdragon,12.0
414,Redmi,2 GB RAM,16 GB ROM,Expandable Upto 128 GB,li-polymer battery,3000.0,13,5.0,1,4.5,153238.0,5999,5.0,Snapdragon,12.0
415,Honor,6 GB RAM,128 GB ROM,,standard battery,3750.0,66,32.0,3,4.4,330.0,22999,6.26,Kirin,12.0
416,Samsung,4 GB RAM,128 GB ROM,,li-ion battery,4000.0,38,16.0,3,4.3,298.0,19900,6.4,Exynos,12.0
417,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,13.0,2,4.4,25616.0,8499,6.22,Mediatek,
418,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-ion battery,4500.0,60,32.0,4,4.5,680.0,24990,6.44,Snapdragon,
419,Gionee,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4050.0,15,13.0,2,4.1,625.0,6989,6.26,Spreadtrum,12.0
420,OnePlus,6 GB RAM,128 GB ROM,,standard battery,3700.0,53,16.0,2,4.6,271.0,29999,6.41,,12.0
421,OnePlus,6 GB RAM,128 GB ROM,,standard battery,3700.0,53,16.0,2,4.6,271.0,29999,6.41,,12.0
422,Mi,6 GB RAM,128 GB ROM,,standard battery,3010.0,32,20.0,2,4.1,250.0,16899,5.99,Snapdragon,12.0
423,POCO,8 GB RAM,256 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,17,20.0,2,4.5,3102.0,22999,6.18,Snapdragon,12.0
424,LG,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,25,16.0,2,3.9,108.0,8399,6.26,Mediatek,12.0
425,LG,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,25,16.0,2,3.9,108.0,9999,6.26,Mediatek,12.0
426,Gionee,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,3520.0,13,8.0,1,4.1,969.0,5499,5.71,,12.0
427,Redmi,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,li polymer battery,3080.0,17,16.0,2,4.5,7978.0,7999,5.99,Snapdragon,12.0
428,Samsung,1 GB RAM,16 GB ROM,Expandable Upto 256 GB,lithium-ion battery,2600.0,8,5.0,1,4.2,731.0,7290,5.0,Other,12.0
429,Vivo,8 GB RAM,128 GB ROM,,standard battery,4000.0,17,8.0,2,4.2,95.0,25990,6.59,Snapdragon,12.0
430,Gionee,4 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-polymer battery,3030.0,15,16.0,2,4.0,551.0,8990,5.7,Snapdragon,12.0
